sim,success,wind_x,wind_y,wind_z,p0_x,p0_y,p0_z,v0_x,v0_y,v0_z,true_ap,ekf_ap,rmse,rmsex,rmsey,rmsez,target
62,1,-3.6836152829410276,4.184132946934859,0.08687149875129996,0.0,0.0,152.4083041856835,2.1890993726427164,3.680159301114598,54.690160557826594,249.83482485041355,250.03511874042934,0.22654781568809326,0.12681827085057243,0.1305206815322217,0.13492735328272581,250.0
63,1,-2.500066627838894,3.620562262204203,-0.48279218410831704,0.0,0.0,154.5196119137343,-4.7568684848753,2.913065007284141,54.92968083625601,249.48593724113806,249.64702254195436,0.22182143675888563,0.06681203025255551,0.10751775431509163,0.1821560729878296,250.0
64,1,4.860468243114552,-3.5200726346844666,-0.44369127347387993,0.0,0.0,150.5299692867486,-3.4569852517107105,0.46343946676489445,53.520074366072656,249.8539544218219,249.91373684251758,0.1339133302910281,0.020977453236205288,0.060000518692661486,0.11786714657600054,250.0
65,1,4.069566675578905,4.795738659752294,-0.3872124332981517,0.0,0.0,152.42395291984076,-3.225483342282441,-2.0562508869365925,54.36984062962639,249.94368695775637,250.11089253838838,0.155853837450551,0.05683598557114114,0.12382422746528099,0.07568123997957596,250.0
66,1,0.384208480004693,0.15875664739773399,0.1638777689945663,0.0,0.0,153.557893718625,4.71639210714444,2.7054839543142926,52.5157743682668,249.75766392402508,249.96724274905597,0.18393334839418735,0.05682396571294571,0.07272748576948086,0.15910130856093363,250.0
67,1,-1.6848727481165735,-1.3082210505570124,-0.05085670548983379,0.0,0.0,154.7934996618719,2.6997938091156186,-0.5397155057941836,50.78704420669535,249.95252385793952,250.0190075719762,0.14637001519930978,0.07260665857759992,0.021965565866155442,0.12517974435115933,250.0
68,1,2.558865369608407,-4.798302685500323,-0.40842443540116036,0.0,0.0,153.4686143664747,2.4782915122968676,-4.416879469127391,51.551904533235955,249.82320982466473,249.9679728475845,0.1920106427428279,0.08787898564262078,0.12066003510061324,0.12077469411452345,250.0
69,1,-2.286416228333522,-3.209116994504618,-0.36765385150150265,0.0,0.0,153.98578038758563,2.007323879327613,-3.6096659817284382,51.41384504913953,249.77772284691244,249.81652957482535,0.1941179985389988,0.01892594273317194,0.14980517024529838,0.12199187274660804,250.0
70,1,-1.7159016119657622,0.9383320605385359,-0.29058721297427637,0.0,0.0,151.19487150413403,3.6418939879370775,-2.158579121699341,53.207660705913845,249.94763956518324,250.02173010407625,0.2063151514143836,0.015310795280429954,0.17658266715162466,0.10559395301171064,250.0
71,1,-2.626030751342996,2.6888484479099883,-0.22312045885926202,0.0,0.0,151.66272167516584,2.1503939183409813,-2.5521785999368563,51.63758338451203,249.94724324267918,249.91037931194177,0.18538515257743926,0.11790436960965282,0.12106887125680459,0.07621379688556458,250.0
72,1,4.030151012439866,-1.2929657729442412,-0.10762773601471087,0.0,0.0,153.84491643414526,-2.4808674264857036,3.683964650919542,51.57806574134069,249.78356537449588,249.92764836169218,0.18981880745808472,0.13292717653263283,0.04126005579476181,0.1290703420607725,250.0
73,1,-3.9688051711403514,2.343890064400263,0.4515636247218272,0.0,0.0,154.09339562428758,4.052694073840966,2.8134392523196796,53.167876016638644,249.80801690068478,249.91481781548973,0.16431636690798682,0.0742384586860659,0.11700085789473726,0.08831375282283573,250.0
74,1,-0.8859934098419586,4.859874768703756,0.2692524803734274,0.0,0.0,150.0738678062347,0.500414436649721,-0.4807577067297739,54.359553482818775,249.77458833015768,249.90487908204278,0.13515566348406016,0.029479125850390548,0.05751770521566912,0.11870024472441812,250.0
75,1,-0.4108418141873882,-0.3865517333505055,0.12924582126644613,0.0,0.0,154.49507666451527,-2.5742347984073133,4.062254132391482,51.86843321705025,250.0225666392186,250.0759174160068,0.11995168731169294,0.05851871736791046,0.02442728912408698,0.10181981414530787,250.0
76,1,3.20514117274522,-2.5988633186285828,-0.47115342716959985,0.0,0.0,152.39857589603992,2.006577963781635,1.6690339462752117,54.71202640751278,249.82917513430118,249.95088855984662,0.16769231120915695,0.07068423318476062,0.12088658492790387,0.09225445247910702,250.0
